time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,precipType,ozone,precipAccumulation
1530507600,Humid,clear-night,0.0,0.0,81.87,87.88,74.15,0.78,1015.6,5.45,9.31,191.0,0.01,0.0,8.479,,,
1530511200,Humid,clear-night,0.0,0.0,81.29,86.9,74.17,0.79,1015.4,5.3,7.54,195.0,0.0,0.0,7.88,,,
1530514800,Humid,clear-night,0.0,0.0,80.34,85.34,74.47,0.8200000000000001,1014.9,5.49,5.49,218.0,0.0,0.0,8.751,,,
1530518400,Humid,clear-night,0.0,0.0,79.75,84.06,74.09,0.8300000000000001,1014.8,3.5300000000000002,8.39,187.0,0.01,0.0,7.772,,,
1530522000,Humid,clear-night,0.0,0.0,79.23,83.02,74.02,0.84,1015.0,4.25,4.25,210.0,0.05,0.0,7.772,,,
1530525600,Humid,clear-night,0.0,0.0,78.94,82.42,73.95,0.85,1015.3,0.85,0.85,186.0,0.25,0.0,7.828,,,
1530529200,Humid,clear-night,0.0,0.0,78.94,82.41,73.85,0.84,1015.7,0.59,0.66,212.0,0.18,0.0,7.392,,,
1530532800,Humid,clear-day,0.0,0.0,78.61,81.84,74.5,0.87,1016.1,4.48,7.17,213.0,0.26,0.0,6.623,,,
1530536400,Humid,clear-day,0.0,0.0,79.83,84.32,74.42,0.84,1016.6,4.16,4.16,211.0,0.11,1.0,6.728,,,
1530540000,Humid,clear-day,0.0,0.0,82.75,89.35,74.19,0.75,1017.2,2.85,2.85,223.0,0.25,2.0,7.361,,,
1530543600,Humid and Mostly Cloudy,partly-cloudy-day,0.0,0.0,86.1,93.38,73.16,0.65,1017.2,6.44,6.44,215.0,0.72,4.0,8.405,,,
1530547200,Partly Cloudy,partly-cloudy-day,0.0,0.0,86.13,92.07,71.56,0.62,1017.0,5.62,5.62,215.0,0.53,6.0,8.896,,,
1530550800,Partly Cloudy,partly-cloudy-day,0.0,0.0,88.78,94.16,70.14,0.54,1016.8,3.22,3.22,213.0,0.45,7.0,9.367,,,
1530554400,Partly Cloudy,partly-cloudy-day,0.0,0.0,90.41,95.6,69.52,0.5,1016.4,4.19,4.19,198.0,0.51,8.0,9.997,,,
1530558000,Partly Cloudy,partly-cloudy-day,0.0,0.0,92.19,96.31,67.77,0.45,1015.9,5.59,5.59,159.0,0.43,8.0,9.367,,,
1530561600,Clear,clear-day,0.0,0.0,94.03,98.81,68.18,0.43,1015.1,5.7,5.7,83.0,0.29,8.0,9.473,,,
1530565200,Clear,clear-day,0.0,0.0,94.28,98.24,67.06,0.41000000000000003,1014.3,2.51,2.51,150.0,0.25,6.0,9.483,,,
1530568800,Clear,clear-day,0.0,0.0,95.11,100.07,68.12,0.42,1013.6,3.1,3.1,153.0,0.12,4.0,9.473,,,
1530572400,Partly Cloudy,partly-cloudy-day,0.0,0.0,94.18,100.57,70.0,0.46,1013.1,4.38,4.38,174.0,0.38,2.0,9.473,,,
1530576000,Humid and Partly Cloudy,partly-cloudy-day,0.0,0.0,92.74,101.14,72.4,0.52,1012.9,4.9,4.9,158.0,0.58,1.0,9.473,,,
1530579600,Humid,clear-day,0.0,0.0,89.92,98.14,72.93,0.58,1013.1,9.38,9.38,161.0,0.24,0.0,9.473,,,
1530583200,Humid,clear-night,0.0,0.0,88.23,96.01,72.96,0.61,1013.6,7.43,7.43,171.0,0.01,0.0,9.997,,,
1530586800,Humid,clear-night,0.0,0.0,85.42,92.51,73.21,0.67,1014.3,7.29,7.29,175.0,0.04,0.0,9.997,,,
1530590400,Humid,clear-night,0.0,0.0,84.38,91.42,73.67,0.7000000000000001,1015.1,5.26,5.26,199.0,0.02,0.0,9.997,,,
1530594000,Humid,clear-night,0.0,0.0,82.33,88.39,73.77,0.75,1015.3,8.32,8.32,207.0,0.02,0.0,9.997,,,
1530597600,Humid,clear-night,0.0,0.0,81.48,87.14,74.01,0.78,1015.7,3.69,6.98,203.0,0.0,0.0,9.997,,,
1530601200,Humid,clear-night,0.0,0.0,80.7,85.84,74.13,0.8,1015.7,6.67,8.98,208.0,0.02,0.0,9.346,,,
1530604800,Humid,clear-night,0.0,0.0,80.49,85.64,74.55,0.8200000000000001,1014.8,6.35,7.7,213.0,0.04,0.0,9.545,,,
1530608400,Humid,clear-night,0.0,0.0,79.28,83.26,74.51,0.85,1014.6,4.33,4.33,230.0,0.0,0.0,9.184,,,
1530612000,Humid,clear-night,0.0,0.0,79.19,83.1,74.63,0.86,1014.3,1.17,7.33,232.0,0.0,0.0,9.248,,,
1530615600,Humid,clear-night,0.0,0.0,77.69,79.44,74.92,0.91,1014.3,2.96,2.96,252.0,0.04,0.0,8.936,,,
1530619200,Humid,clear-day,0.0,0.0,77.93,79.71,75.14,0.91,1014.9,2.01,2.01,256.0,0.19,0.0,7.178,,,
1530622800,Humid and Mostly Cloudy,partly-cloudy-day,0.0,0.0,79.76,84.5,75.26,0.86,1015.5,4.67,4.67,251.0,0.63,1.0,7.309,,,
1530626400,Humid and Mostly Cloudy,partly-cloudy-day,0.0,0.0,81.21,87.48,75.45,0.8300000000000001,1016.1,5.96,5.96,246.0,0.8200000000000001,2.0,7.336,,,
1530630000,Humid and Mostly Cloudy,partly-cloudy-day,0.0,0.0,83.8,91.21,74.47,0.74,1015.9,8.46,8.46,239.0,0.75,4.0,9.239,,,
1530633600,Humid and Partly Cloudy,partly-cloudy-day,0.0,0.0,85.03,91.58,72.74,0.67,1015.8,7.61,8.14,249.0,0.51,6.0,8.226,,,
1530637200,Mostly Cloudy,partly-cloudy-day,0.0,0.0,88.48,94.86,71.4,0.5700000000000001,1015.6,5.53,5.53,233.0,0.64,6.0,9.704,,,
1530640800,Partly Cloudy,partly-cloudy-day,0.0,0.0,90.1,95.64,70.02,0.52,1015.3,4.94,4.94,237.0,0.46,8.0,9.704,,,
1530644400,Partly Cloudy,partly-cloudy-day,0.0,0.0,92.18,97.14,68.84,0.47000000000000003,1014.6,5.27,5.27,245.0,0.54,8.0,9.997,,,
1530648000,Clear,clear-day,0.0,0.0,93.43,97.79,67.79,0.43,1013.8,3.51,3.51,243.0,0.24,8.0,9.473,,,
