time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,precipType,ozone,precipAccumulation
1530504000,Clear,clear-night,0.0,0.0,80.27,83.79,70.79,0.73,1017.3,3.03,3.21,238.0,0.12,0.0,9.964,,,
1530507600,Clear,clear-night,0.0,0.0,79.74,82.67,69.59,0.71,1017.2,2.39,2.39,226.0,0.05,0.0,9.705,,,
1530511200,Clear,clear-night,0.0,0.0,78.14,79.19,69.7,0.75,1017.6,1.78,1.78,226.0,0.2,0.0,9.553,,,
1530514800,Clear,clear-night,0.0,0.0,76.94,78.02,69.75,0.79,1017.6,0.9500000000000001,1.21,192.0,0.12,0.0,9.401,,,
1530518400,Clear,clear-night,0.0,0.0,76.07,77.2,69.96,0.81,1017.5,1.23,1.49,214.0,0.05,0.0,8.918,,,
1530522000,Clear,clear-night,0.0,0.0,74.97,76.09,69.58,0.8300000000000001,1017.5,1.33,1.63,188.0,0.0,0.0,8.175,,,
1530525600,Clear,clear-day,0.0,0.0,73.54,74.71,69.61,0.88,1017.7,1.75,1.75,168.0,0.06,0.0,5.956,,,
1530529200,Clear,clear-day,0.0,0.0,75.07,76.33,70.69,0.86,1017.6,1.22,1.34,185.0,0.13,0.0,6.788,,,
1530532800,Humid,clear-day,0.0,0.0,79.62,83.36,72.64,0.79,1017.8,1.74,1.96,210.0,0.05,1.0,8.397,,,
1530536400,Humid,clear-day,0.0,0.0,83.67,90.23,73.47,0.71,1018.0,2.5,2.7199999999999998,190.0,0.05,3.0,8.481,,,
1530540000,Humid,clear-day,0.0004,0.01,86.65,94.5,73.57,0.65,1018.2,2.7199999999999998,3.51,200.0,0.05,6.0,9.089,rain,,
1530543600,Humid,clear-day,0.0009000000000000001,0.01,90.16,99.1,73.54,0.58,1018.4,2.93,4.41,177.0,0.05,8.0,9.399000000000001,rain,,
1530547200,Clear,clear-day,0.0,0.0,92.05,98.42,70.5,0.5,1018.2,4.14,5.23,232.0,0.08,9.0,9.902,,,
1530550800,Clear,clear-day,0.0,0.0,93.71,100.93,71.0,0.48,1017.8,3.79,5.07,219.0,0.07,10.0,9.902,,,
1530554400,Clear,clear-day,0.0027,0.01,94.92,101.89,70.45,0.45,1017.5,5.34,5.94,225.0,0.07,9.0,9.902,rain,,
1530558000,Clear,clear-day,0.0,0.0,96.1,103.25,70.32,0.43,1017.1,4.68,5.57,201.0,0.11,8.0,9.666,,,
1530561600,Clear,clear-day,0.0,0.0,96.56,103.75,70.25,0.43,1016.5,4.46,5.29,188.0,0.15,6.0,9.902,,,
1530565200,Clear,clear-day,0.0016,0.01,96.8,103.98,70.16,0.42,1016.1,4.83,6.03,177.0,0.15,4.0,9.902,rain,,
1530568800,Clear,clear-day,0.0009000000000000001,0.01,96.42,103.38,70.04,0.43,1016.0,5.38,6.14,204.0,0.14,2.0,9.9,rain,,
1530572400,Clear,clear-day,0.0006000000000000001,0.01,94.48,101.68,70.79,0.46,1016.3,5.94,7.18,229.0,0.13,0.0,9.9,rain,,
1530576000,Humid,clear-day,0.0007,0.01,91.01,99.29,72.71,0.55,1016.8,5.26,6.74,205.0,0.06,0.0,9.932,rain,,
1530579600,Humid,clear-night,0.0006000000000000001,0.01,87.27,95.37,73.61,0.64,1017.7,4.71,5.33,214.0,0.16,0.0,9.932,rain,,
1530583200,Humid,clear-night,0.0004,0.01,84.58,91.18,73.03,0.68,1018.7,3.62,4.12,215.0,0.06,0.0,9.932,rain,,
1530586800,Humid,clear-night,0.0,0.0,82.49,87.95,72.69,0.72,1018.9,2.96,2.96,203.0,0.12,0.0,9.932,,,
1530590400,Humid,clear-night,0.0,0.0,81.6,86.58,72.64,0.74,1019.0,2.6,4.16,212.0,0.13,0.0,9.854,,,
1530594000,Humid,clear-night,0.0,0.0,80.85,85.34,72.52,0.76,1019.2,2.36,2.36,213.0,0.16,0.0,9.654,,,
1530597600,Humid,clear-night,0.0,0.0,79.66,83.45,72.73,0.79,1019.1,1.8,1.92,192.0,0.26,0.0,8.461,,,
1530601200,Humid,clear-night,0.0,0.0,78.6,81.6,73.18,0.8300000000000001,1019.0,2.32,2.83,176.0,0.18,0.0,8.753,,,
1530604800,Humid,clear-night,0.0,0.0,77.65,79.15,73.06,0.86,1019.0,2.33,2.54,169.0,0.13,0.0,7.163,,,
1530608400,Humid,clear-night,0.0,0.0,77.12,78.7,73.48,0.89,1019.5,2.07,3.01,175.0,0.13,0.0,6.348,,,
1530612000,Humid,clear-day,0.0,0.0,76.46,78.03,73.27,0.9,1020.0,1.8399999999999999,2.24,157.0,0.15,0.0,4.616,,,
1530615600,Humid,clear-day,0.0,0.0,78.15,79.94,75.28,0.91,1020.7,2.46,2.8,143.0,0.22,0.0,5.5120000000000005,,,
1530619200,Humid and Partly Cloudy,partly-cloudy-day,0.0,0.0,81.0,87.81,76.48,0.86,1021.1,1.29,2.75,153.0,0.39,1.0,6.283,,,
1530622800,Humid,clear-day,0.0,0.0,84.07,92.94,75.97,0.77,1021.2,1.6400000000000001,2.73,200.0,0.31,3.0,7.559,,,
1530626400,Humid,clear-day,0.00030000000000000003,0.01,87.57,98.3,75.95,0.6900000000000001,1021.1,3.15,3.52,97.0,0.08,5.0,8.464,rain,,
1530630000,Humid,clear-day,0.0008,0.01,89.67,100.98,75.72,0.64,1021.5,2.56,3.64,134.0,0.0,8.0,8.96,rain,,
