time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,precipType,ozone,precipAccumulation
1530428400,Clear,clear-night,0.0,0.0,86.82,86.82,34.57,0.16,1008.9,4.3,11.27,225.0,0.0,0.0,9.997,,,
1530432000,Clear,clear-night,0.0,0.0,83.37,83.37,36.45,0.19,1009.3,4.0,4.0,282.0,0.0,0.0,9.997,,,
1530435600,Clear,clear-night,0.0,0.0,82.22,82.22,34.88,0.18,1009.5,2.47,2.47,279.0,0.0,0.0,9.997,,,
1530439200,Clear,clear-night,0.0,0.0,80.34,80.34,33.96,0.19,1010.1,2.98,4.12,107.0,0.0,0.0,9.997,,,
1530442800,Clear,clear-night,0.0,0.0,79.34,79.34,31.52,0.18,1010.4,2.74,3.2800000000000002,106.0,0.0,0.0,9.997,,,
1530446400,Clear,clear-night,0.0,0.0,76.67,76.67,32.87,0.2,1010.7,2.51,4.76,115.0,0.0,0.0,9.997,,,
1530450000,Clear,clear-day,0.0,0.0,75.72,75.72,31.89,0.2,1011.4,1.54,4.88,111.0,0.0,0.0,10.0,,,
1530453600,Clear,clear-day,0.0,0.0,79.63,79.63,30.69,0.17,1012.2,2.1,6.04,107.0,0.0,1.0,10.0,,,
1530457200,Clear,clear-day,0.0,0.0,83.28,83.28,30.24,0.15,1012.7,3.05,7.17,115.0,0.0,2.0,10.0,,,
1530460800,Clear,clear-day,0.0,0.0,86.26,86.26,30.78,0.14,1012.6,3.09,7.44,126.0,0.0,5.0,10.0,,,
1530464400,Clear,clear-day,0.0,0.0,88.66,88.66,30.38,0.12,1012.3,3.71,8.87,142.0,0.0,7.0,10.0,,,
1530468000,Clear,clear-day,0.0,0.0,90.98,90.98,29.25,0.11,1012.4,4.79,10.58,168.0,0.02,10.0,10.0,,,
1530471600,Clear,clear-day,0.0,0.0,93.57,93.57,26.44,0.09,1011.9,4.61,13.29,155.0,0.02,11.0,10.0,,,
1530475200,Clear,clear-day,0.0,0.0,96.43,96.43,25.69,0.08,1011.2,3.71,8.43,154.0,0.02,11.0,10.0,,,
1530478800,Clear,clear-day,0.0,0.0,97.81,97.81,25.64,0.08,1010.2,4.08,8.97,194.0,0.02,10.0,10.0,,,
1530482400,Clear,clear-day,0.0,0.0,99.0,99.0,23.68,0.07,1009.4,3.86,10.83,208.0,0.02,8.0,10.0,,,
1530486000,Clear,clear-day,0.0,0.0,100.43,100.43,23.76,0.07,1008.6,3.5300000000000002,10.4,227.0,0.02,5.0,10.0,,,
1530489600,Clear,clear-day,0.0,0.0,101.4,101.4,24.49,0.07,1008.1,3.62,7.42,231.0,0.02,2.0,10.0,,,
1530493200,Clear,clear-day,0.0,0.0,100.64,100.64,23.73,0.07,1007.7,3.38,8.52,248.0,0.02,1.0,10.0,,,
1530496800,Clear,clear-day,0.0,0.0,98.86,98.86,22.55,0.07,1007.8,3.93,10.37,256.0,0.02,0.0,10.0,,,
1530500400,Clear,clear-night,0.0,0.0,96.43,96.43,19.97,0.06,1008.0,4.02,7.23,239.0,0.0,0.0,10.0,,,
