time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,precipType,ozone,precipAccumulation
1530507600,Humid,clear-night,0.0,0.0,81.09,86.15,73.38,0.77,1014.7,9.02,9.02,131.0,0.01,0.0,9.997,,,
1530511200,Humid,clear-night,0.0,0.0,79.4,82.99,72.74,0.8,1014.7,9.18,9.18,131.0,0.02,0.0,9.975999999999999,,,
1530514800,Humid and Mostly Cloudy,partly-cloudy-night,0.0,0.0,78.22,79.7,73.07,0.84,1014.3,11.2,11.2,141.0,0.75,0.0,9.975999999999999,,,
1530518400,Humid and Mostly Cloudy,partly-cloudy-night,0.0,0.0,78.22,79.67,72.85,0.84,1014.6,8.01,8.01,162.0,0.75,0.0,9.975999999999999,,,
1530522000,Humid and Partly Cloudy,partly-cloudy-night,0.0,0.0,77.08,78.47,72.18,0.85,1013.6,4.8100000000000005,4.8100000000000005,181.0,0.45,0.0,9.975999999999999,,,
1530525600,Humid and Mostly Cloudy,partly-cloudy-night,0.0,0.0,76.89,78.32,72.34,0.86,1013.6,4.57,4.57,199.0,0.75,0.0,9.975999999999999,,,
1530529200,Mostly Cloudy,partly-cloudy-night,0.0,0.0,75.54,76.93,71.79,0.88,1014.3,0.13,1.22,188.0,0.75,0.0,9.975999999999999,,,
1530532800,Humid and Mostly Cloudy,partly-cloudy-day,0.0,0.0,75.96,77.39,72.14,0.88,1014.4,5.71,5.71,131.0,0.75,0.0,9.923,,,
1530536400,Humid and Mostly Cloudy,partly-cloudy-day,0.0,0.0,77.6,78.95,72.01,0.8300000000000001,1015.0,7.96,7.96,139.0,0.73,0.0,9.952,,,
1530540000,Mostly Cloudy,partly-cloudy-day,0.0,0.0,79.2,82.12,70.52,0.75,1015.4,10.23,10.23,150.0,0.75,2.0,9.975,,,
1530543600,Clear,clear-day,0.0,0.0,83.32,87.1,69.3,0.63,1015.4,7.98,7.98,141.0,0.03,4.0,9.975999999999999,,,
1530547200,Clear,clear-day,0.0,0.0,86.24,90.0,68.49,0.56,1015.4,5.88,7.08,111.0,0.0,7.0,9.975,,,
1530550800,Clear,clear-day,0.0,0.0,89.79,92.96,66.92,0.47000000000000003,1015.0,9.12,9.12,150.0,0.0,10.0,9.997,,,
1530554400,Clear,clear-day,0.0,0.0,92.27,94.92,65.63,0.42,1014.4,6.89,9.37,92.0,0.18,10.0,9.997,,,
1530558000,Mostly Cloudy,partly-cloudy-day,0.0,0.0,96.09,97.31,62.28,0.33,1013.7,11.29,18.37,150.0,0.74,6.0,9.997,,,
