demand,date_time,city,unix_time
2023.0,2018-07-01 01:00:00,san diego,1530432000
1896.0,2018-07-01 02:00:00,san diego,1530435600
18507.0,2018-07-01 03:00:00,san diego,1530439200
1825.0,2018-07-01 04:00:00,san diego,1530442800
10798.0,2018-07-01 05:00:00,san diego,1530446400
1826.0,2018-07-01 06:00:00,san diego,1530450000
107307.0,2018-07-01 07:00:00,san diego,1530453600
1621.0,2018-07-01 08:00:00,san diego,1530457200
1566.0,2018-07-01 09:00:00,san diego,1530460800
1493.0,2018-07-01 10:00:00,san diego,1530464400
1465.0,2018-07-01 11:00:00,san diego,1530468000
14071.0,2018-07-01 12:00:00,san diego,1530471600
1486.0,2018-07-01 13:00:00,san diego,1530475200
1522.0,2018-07-01 14:00:00,san diego,1530478800
1592.0,2018-07-01 15:00:00,san diego,1530482400
1685.0,2018-07-01 16:00:00,san diego,1530486000
1836.0,2018-07-01 17:00:00,san diego,1530489600
2058.0,2018-07-01 18:00:00,san diego,1530493200
2324.0,2018-07-01 19:00:00,san diego,1530496800
2460.0,2018-07-01 20:00:00,san diego,1530500400
2593.0,2018-07-01 21:00:00,san diego,1530504000
2498.0,2018-07-01 22:00:00,san diego,1530507600
2306.0,2018-07-01 23:00:00,san diego,1530511200
2093.0,2018-07-02 00:00:00,san diego,1530514800
1939.0,2018-07-02 01:00:00,san diego,1530518400
1842.0,2018-07-02 02:00:00,san diego,1530522000
1813.0,2018-07-02 03:00:00,san diego,1530525600
10794.0,2018-07-02 04:00:00,san diego,1530529200
1825.0,2018-07-02 05:00:00,san diego,1530532800
1925.0,2018-07-02 06:00:00,san diego,1530536400
2018.0,2018-07-02 07:00:00,san diego,1530540000
20107.0,2018-07-02 08:00:00,san diego,1530543600
1992.0,2018-07-02 09:00:00,san diego,1530547200
1966.0,2018-07-02 10:00:00,san diego,1530550800
1925.0,2018-07-02 11:00:00,san diego,1530554400
1961.0,2018-07-02 12:00:00,san diego,1530558000
19078.0,2018-07-02 13:00:00,san diego,1530561600
2019.0,2018-07-02 14:00:00,san diego,1530565200
2052.0,2018-07-02 15:00:00,san diego,1530568800
2141.0,2018-07-02 16:00:00,san diego,1530572400
2268.0,2018-07-02 17:00:00,san diego,1530576000
24076.0,2018-07-02 18:00:00,san diego,1530579600
2602.0,2018-07-02 19:00:00,san diego,1530583200
20738.0,2018-07-02 20:00:00,san diego,1530586800
2818.0,2018-07-02 21:00:00,san diego,1530590400
207007.0,2018-07-02 22:00:00,san diego,1530594000
2421.0,2018-07-02 23:00:00,san diego,1530597600
2133.0,2018-07-03 00:00:00,san diego,1530601200
1959.0,2018-07-03 01:00:00,san diego,1530604800
1842.0,2018-07-03 02:00:00,san diego,1530608400
10780.0,2018-07-03 03:00:00,san diego,1530612000
10752.0,2018-07-03 04:00:00,san diego,1530615600
107071.0,2018-07-03 05:00:00,san diego,1530619200
1894.0,2018-07-03 06:00:00,san diego,1530622800
1954.0,2018-07-03 07:00:00,san diego,1530626400
1964.0,2018-07-03 08:00:00,san diego,1530630000
1996.0,2018-07-03 09:00:00,san diego,1530633600
1962.0,2018-07-03 10:00:00,san diego,1530637200
19071.0,2018-07-03 11:00:00,san diego,1530640800
19607.0,2018-07-03 12:00:00,san diego,1530644400
1930.0,2018-07-03 13:00:00,san diego,1530648000
1931.0,2018-07-03 14:00:00,san diego,1530651600
1960.0,2018-07-03 15:00:00,san diego,1530655200
2060.0,2018-07-03 16:00:00,san diego,1530658800
21078.0,2018-07-03 17:00:00,san diego,1530662400
2364.0,2018-07-03 18:00:00,san diego,1530666000
24079.0,2018-07-03 19:00:00,san diego,1530669600
25807.0,2018-07-03 20:00:00,san diego,1530673200
2680.0,2018-07-03 21:00:00,san diego,1530676800
25071.0,2018-07-03 22:00:00,san diego,1530680400
23078.0,2018-07-03 23:00:00,san diego,1530684000
2184.0,2018-07-04 00:00:00,san diego,1530687600
2032.0,2018-07-04 01:00:00,san diego,1530691200
1923.0,2018-07-04 02:00:00,san diego,1530694800
1826.0,2018-07-04 03:00:00,san diego,1530698400
10791.0,2018-07-04 04:00:00,san diego,1530702000
10789.0,2018-07-04 05:00:00,san diego,1530705600
1802.0,2018-07-04 06:00:00,san diego,1530709200
10762.0,2018-07-04 07:00:00,san diego,1530712800
10731.0,2018-07-04 08:00:00,san diego,1530716400
10734.0,2018-07-04 09:00:00,san diego,1530720000
10743.0,2018-07-04 10:00:00,san diego,1530723600
10748.0,2018-07-04 11:00:00,san diego,1530727200
1801.0,2018-07-04 12:00:00,san diego,1530730800
1863.0,2018-07-04 13:00:00,san diego,1530734400
1846.0,2018-07-04 14:00:00,san diego,1530738000
1903.0,2018-07-04 15:00:00,san diego,1530741600
2000.0,2018-07-04 16:00:00,san diego,1530745200
2094.0,2018-07-04 17:00:00,san diego,1530748800
2254.0,2018-07-04 18:00:00,san diego,1530752400
2461.0,2018-07-04 19:00:00,san diego,1530756000
25070.0,2018-07-04 20:00:00,san diego,1530759600
2605.0,2018-07-04 21:00:00,san diego,1530763200
2530.0,2018-07-04 22:00:00,san diego,1530766800
2441.0,2018-07-04 23:00:00,san diego,1530770400
2262.0,2018-07-05 00:00:00,san diego,1530774000
