demand,date_time,city,unix_time
809.0,2018-07-01 01:00:00,seattle,1530432000
7079.0,2018-07-01 02:00:00,seattle,1530435600
753.0,2018-07-01 03:00:00,seattle,1530439200
748.0,2018-07-01 04:00:00,seattle,1530442800
745.0,2018-07-01 05:00:00,seattle,1530446400
749.0,2018-07-01 06:00:00,seattle,1530450000
7074.0,2018-07-01 07:00:00,seattle,1530453600
8207.0,2018-07-01 08:00:00,seattle,1530457200
881.0,2018-07-01 09:00:00,seattle,1530460800
933.0,2018-07-01 10:00:00,seattle,1530464400
965.0,2018-07-01 11:00:00,seattle,1530468000
982.0,2018-07-01 12:00:00,seattle,1530471600
9078.0,2018-07-01 13:00:00,seattle,1530475200
9076.0,2018-07-01 14:00:00,seattle,1530478800
980.0,2018-07-01 15:00:00,seattle,1530482400
940.0,2018-07-01 16:00:00,seattle,1530486000
984.0,2018-07-01 17:00:00,seattle,1530489600
982.0,2018-07-01 18:00:00,seattle,1530493200
9807.0,2018-07-01 19:00:00,seattle,1530496800
9079.0,2018-07-01 20:00:00,seattle,1530500400
9075.0,2018-07-01 21:00:00,seattle,1530504000
985.0,2018-07-01 22:00:00,seattle,1530507600
934.0,2018-07-01 23:00:00,seattle,1530511200
861.0,2018-07-02 00:00:00,seattle,1530514800
7907.0,2018-07-02 01:00:00,seattle,1530518400
765.0,2018-07-02 02:00:00,seattle,1530522000
736.0,2018-07-02 03:00:00,seattle,1530525600
745.0,2018-07-02 04:00:00,seattle,1530529200
764.0,2018-07-02 05:00:00,seattle,1530532800
829.0,2018-07-02 06:00:00,seattle,1530536400
931.0,2018-07-02 07:00:00,seattle,1530540000
1033.0,2018-07-02 08:00:00,seattle,1530543600
1023.0,2018-07-02 09:00:00,seattle,1530547200
1051.0,2018-07-02 10:00:00,seattle,1530550800
10079.0,2018-07-02 11:00:00,seattle,1530554400
1104.0,2018-07-02 12:00:00,seattle,1530558000
1096.0,2018-07-02 13:00:00,seattle,1530561600
1082.0,2018-07-02 14:00:00,seattle,1530565200
1093.0,2018-07-02 15:00:00,seattle,1530568800
100707.0,2018-07-02 16:00:00,seattle,1530572400
10073.0,2018-07-02 17:00:00,seattle,1530576000
1082.0,2018-07-02 18:00:00,seattle,1530579600
1051.0,2018-07-02 19:00:00,seattle,1530583200
1031.0,2018-07-02 20:00:00,seattle,1530586800
1004.0,2018-07-02 21:00:00,seattle,1530590400
1008.0,2018-07-02 22:00:00,seattle,1530594000
963.0,2018-07-02 23:00:00,seattle,1530597600
8072.0,2018-07-03 00:00:00,seattle,1530601200
802.0,2018-07-03 01:00:00,seattle,1530604800
7075.0,2018-07-03 02:00:00,seattle,1530608400
744.0,2018-07-03 03:00:00,seattle,1530612000
743.0,2018-07-03 04:00:00,seattle,1530615600
761.0,2018-07-03 05:00:00,seattle,1530619200
815.0,2018-07-03 06:00:00,seattle,1530622800
924.0,2018-07-03 07:00:00,seattle,1530626400
1023.0,2018-07-03 08:00:00,seattle,1530630000
1058.0,2018-07-03 09:00:00,seattle,1530633600
10070.0,2018-07-03 10:00:00,seattle,1530637200
10078.0,2018-07-03 11:00:00,seattle,1530640800
10078.0,2018-07-03 12:00:00,seattle,1530644400
1086.0,2018-07-03 13:00:00,seattle,1530648000
1095.0,2018-07-03 14:00:00,seattle,1530651600
10607.0,2018-07-03 15:00:00,seattle,1530655200
10807.0,2018-07-03 16:00:00,seattle,1530658800
1101.0,2018-07-03 17:00:00,seattle,1530662400
1080.0,2018-07-03 18:00:00,seattle,1530666000
10072.0,2018-07-03 19:00:00,seattle,1530669600
1043.0,2018-07-03 20:00:00,seattle,1530673200
10107.0,2018-07-03 21:00:00,seattle,1530676800
996.0,2018-07-03 22:00:00,seattle,1530680400
956.0,2018-07-03 23:00:00,seattle,1530684000
892.0,2018-07-04 00:00:00,seattle,1530687600
819.0,2018-07-04 01:00:00,seattle,1530691200
780.0,2018-07-04 02:00:00,seattle,1530694800
756.0,2018-07-04 03:00:00,seattle,1530698400
746.0,2018-07-04 04:00:00,seattle,1530702000
751.0,2018-07-04 05:00:00,seattle,1530705600
7507.0,2018-07-04 06:00:00,seattle,1530709200
798.0,2018-07-04 07:00:00,seattle,1530712800
860.0,2018-07-04 08:00:00,seattle,1530716400
910.0,2018-07-04 09:00:00,seattle,1530720000
955.0,2018-07-04 10:00:00,seattle,1530723600
1000.0,2018-07-04 11:00:00,seattle,1530727200
1021.0,2018-07-04 12:00:00,seattle,1530730800
1039.0,2018-07-04 13:00:00,seattle,1530734400
1036.0,2018-07-04 14:00:00,seattle,1530738000
1036.0,2018-07-04 15:00:00,seattle,1530741600
1025.0,2018-07-04 16:00:00,seattle,1530745200
1011.0,2018-07-04 17:00:00,seattle,1530748800
1006.0,2018-07-04 18:00:00,seattle,1530752400
985.0,2018-07-04 19:00:00,seattle,1530756000
951.0,2018-07-04 20:00:00,seattle,1530759600
939.0,2018-07-04 21:00:00,seattle,1530763200
938.0,2018-07-04 22:00:00,seattle,1530766800
896.0,2018-07-04 23:00:00,seattle,1530770400
861.0,2018-07-05 00:00:00,seattle,1530774000
816.0,2018-07-05 01:00:00,seattle,1530777600
7607.0,2018-07-05 02:00:00,seattle,1530781200
705.0,2018-07-05 03:00:00,seattle,1530784800
696.0,2018-07-05 04:00:00,seattle,1530788400
712.0,2018-07-05 05:00:00,seattle,1530792000
7407.0,2018-07-05 06:00:00,seattle,1530795600
849.0,2018-07-05 07:00:00,seattle,1530799200
949.0,2018-07-05 08:00:00,seattle,1530802800
1009.0,2018-07-05 09:00:00,seattle,1530806400
1051.0,2018-07-05 10:00:00,seattle,1530810000
1086.0,2018-07-05 11:00:00,seattle,1530813600
1103.0,2018-07-05 12:00:00,seattle,1530817200
1111.0,2018-07-05 13:00:00,seattle,1530820800
1133.0,2018-07-05 14:00:00,seattle,1530824400
1139.0,2018-07-05 15:00:00,seattle,1530828000
1146.0,2018-07-05 16:00:00,seattle,1530831600
1165.0,2018-07-05 17:00:00,seattle,1530835200
11071.0,2018-07-05 18:00:00,seattle,1530838800
1128.0,2018-07-05 19:00:00,seattle,1530842400
10075.0,2018-07-05 20:00:00,seattle,1530846000
1028.0,2018-07-05 21:00:00,seattle,1530849600
1023.0,2018-07-05 22:00:00,seattle,1530853200
961.0,2018-07-05 23:00:00,seattle,1530856800
838.0,2018-07-06 00:00:00,seattle,1530860400
785.0,2018-07-06 01:00:00,seattle,1530864000
762.0,2018-07-06 02:00:00,seattle,1530867600
744.0,2018-07-06 03:00:00,seattle,1530871200
732.0,2018-07-06 04:00:00,seattle,1530874800
749.0,2018-07-06 05:00:00,seattle,1530878400
831.0,2018-07-06 06:00:00,seattle,1530882000
935.0,2018-07-06 07:00:00,seattle,1530885600
1041.0,2018-07-06 08:00:00,seattle,1530889200
1103.0,2018-07-06 09:00:00,seattle,1530892800
1149.0,2018-07-06 10:00:00,seattle,1530896400
1163.0,2018-07-06 11:00:00,seattle,1530900000
11076.0,2018-07-06 12:00:00,seattle,1530903600
11076.0,2018-07-06 13:00:00,seattle,1530907200
1180.0,2018-07-06 14:00:00,seattle,1530910800
1169.0,2018-07-06 15:00:00,seattle,1530914400
11079.0,2018-07-06 16:00:00,seattle,1530918000
1186.0,2018-07-06 17:00:00,seattle,1530921600
11076.0,2018-07-06 18:00:00,seattle,1530925200
1118.0,2018-07-06 19:00:00,seattle,1530928800
10607.0,2018-07-06 20:00:00,seattle,1530932400
999.0,2018-07-06 21:00:00,seattle,1530936000
962.0,2018-07-06 22:00:00,seattle,1530939600
964.0,2018-07-06 23:00:00,seattle,1530943200
900.0,2018-07-07 00:00:00,seattle,1530946800
829.0,2018-07-07 01:00:00,seattle,1530950400
802.0,2018-07-07 02:00:00,seattle,1530954000
7078.0,2018-07-07 03:00:00,seattle,1530957600
7607.0,2018-07-07 04:00:00,seattle,1530961200
766.0,2018-07-07 05:00:00,seattle,1530964800
764.0,2018-07-07 06:00:00,seattle,1530968400
799.0,2018-07-07 07:00:00,seattle,1530972000
854.0,2018-07-07 08:00:00,seattle,1530975600
921.0,2018-07-07 09:00:00,seattle,1530979200
982.0,2018-07-07 10:00:00,seattle,1530982800
1011.0,2018-07-07 11:00:00,seattle,1530986400
1031.0,2018-07-07 12:00:00,seattle,1530990000
10207.0,2018-07-07 13:00:00,seattle,1530993600
1025.0,2018-07-07 14:00:00,seattle,1530997200
10207.0,2018-07-07 15:00:00,seattle,1531000800
1001.0,2018-07-07 16:00:00,seattle,1531004400
1023.0,2018-07-07 17:00:00,seattle,1531008000
1022.0,2018-07-07 18:00:00,seattle,1531011600
1020.0,2018-07-07 19:00:00,seattle,1531015200
1010.0,2018-07-07 20:00:00,seattle,1531018800
984.0,2018-07-07 21:00:00,seattle,1531022400
9071.0,2018-07-07 22:00:00,seattle,1531026000
950.0,2018-07-07 23:00:00,seattle,1531029600
8607.0,2018-07-08 00:00:00,seattle,1531033200
831.0,2018-07-08 01:00:00,seattle,1531036800
780.0,2018-07-08 02:00:00,seattle,1531040400
7507.0,2018-07-08 03:00:00,seattle,1531044000
749.0,2018-07-08 04:00:00,seattle,1531047600
743.0,2018-07-08 05:00:00,seattle,1531051200
734.0,2018-07-08 06:00:00,seattle,1531054800
760.0,2018-07-08 07:00:00,seattle,1531058400
804.0,2018-07-08 08:00:00,seattle,1531062000
835.0,2018-07-08 09:00:00,seattle,1531065600
890.0,2018-07-08 10:00:00,seattle,1531069200
938.0,2018-07-08 11:00:00,seattle,1531072800
959.0,2018-07-08 12:00:00,seattle,1531076400
984.0,2018-07-08 13:00:00,seattle,1531080000
1014.0,2018-07-08 14:00:00,seattle,1531083600
1001.0,2018-07-08 15:00:00,seattle,1531087200
10107.0,2018-07-08 16:00:00,seattle,1531090800
1020.0,2018-07-08 17:00:00,seattle,1531094400
1059.0,2018-07-08 18:00:00,seattle,1531098000
1040.0,2018-07-08 19:00:00,seattle,1531101600
1049.0,2018-07-08 20:00:00,seattle,1531105200
1028.0,2018-07-08 21:00:00,seattle,1531108800
1045.0,2018-07-08 22:00:00,seattle,1531112400
9073.0,2018-07-08 23:00:00,seattle,1531116000
909.0,2018-07-09 00:00:00,seattle,1531119600
832.0,2018-07-09 01:00:00,seattle,1531123200
800.0,2018-07-09 02:00:00,seattle,1531126800
7078.0,2018-07-09 03:00:00,seattle,1531130400
7076.0,2018-07-09 04:00:00,seattle,1531134000
7907.0,2018-07-09 05:00:00,seattle,1531137600
848.0,2018-07-09 06:00:00,seattle,1531141200
946.0,2018-07-09 07:00:00,seattle,1531144800
1045.0,2018-07-09 08:00:00,seattle,1531148400
1068.0,2018-07-09 09:00:00,seattle,1531152000
1105.0,2018-07-09 10:00:00,seattle,1531155600
1141.0,2018-07-09 11:00:00,seattle,1531159200
1134.0,2018-07-09 12:00:00,seattle,1531162800
11070.0,2018-07-09 13:00:00,seattle,1531166400
1183.0,2018-07-09 14:00:00,seattle,1531170000
1180.0,2018-07-09 15:00:00,seattle,1531173600
1190.0,2018-07-09 16:00:00,seattle,1531177200
11073.0,2018-07-09 17:00:00,seattle,1531180800
1159.0,2018-07-09 18:00:00,seattle,1531184400
1122.0,2018-07-09 19:00:00,seattle,1531188000
1080.0,2018-07-09 20:00:00,seattle,1531191600
1050.0,2018-07-09 21:00:00,seattle,1531195200
1042.0,2018-07-09 22:00:00,seattle,1531198800
981.0,2018-07-09 23:00:00,seattle,1531202400
895.0,2018-07-10 00:00:00,seattle,1531206000
8207.0,2018-07-10 01:00:00,seattle,1531209600
70707.0,2018-07-10 02:00:00,seattle,1531213200
7073.0,2018-07-10 03:00:00,seattle,1531216800
768.0,2018-07-10 04:00:00,seattle,1531220400
785.0,2018-07-10 05:00:00,seattle,1531224000
8307.0,2018-07-10 06:00:00,seattle,1531227600
945.0,2018-07-10 07:00:00,seattle,1531231200
1032.0,2018-07-10 08:00:00,seattle,1531234800
10073.0,2018-07-10 09:00:00,seattle,1531238400
100707.0,2018-07-10 10:00:00,seattle,1531242000
1044.0,2018-07-10 11:00:00,seattle,1531245600
1101.0,2018-07-10 12:00:00,seattle,1531249200
1106.0,2018-07-10 13:00:00,seattle,1531252800
1136.0,2018-07-10 14:00:00,seattle,1531256400
1145.0,2018-07-10 15:00:00,seattle,1531260000
11407.0,2018-07-10 16:00:00,seattle,1531263600
1151.0,2018-07-10 17:00:00,seattle,1531267200
1153.0,2018-07-10 18:00:00,seattle,1531270800
1121.0,2018-07-10 19:00:00,seattle,1531274400
1095.0,2018-07-10 20:00:00,seattle,1531278000
1068.0,2018-07-10 21:00:00,seattle,1531281600
1062.0,2018-07-10 22:00:00,seattle,1531285200
998.0,2018-07-10 23:00:00,seattle,1531288800
913.0,2018-07-11 00:00:00,seattle,1531292400
841.0,2018-07-11 01:00:00,seattle,1531296000
796.0,2018-07-11 02:00:00,seattle,1531299600
7074.0,2018-07-11 03:00:00,seattle,1531303200
7072.0,2018-07-11 04:00:00,seattle,1531306800
7078.0,2018-07-11 05:00:00,seattle,1531310400
821.0,2018-07-11 06:00:00,seattle,1531314000
9407.0,2018-07-11 07:00:00,seattle,1531317600
1031.0,2018-07-11 08:00:00,seattle,1531321200
1098.0,2018-07-11 09:00:00,seattle,1531324800
1129.0,2018-07-11 10:00:00,seattle,1531328400
1150.0,2018-07-11 11:00:00,seattle,1531332000
11807.0,2018-07-11 12:00:00,seattle,1531335600
1182.0,2018-07-11 13:00:00,seattle,1531339200
1201.0,2018-07-11 14:00:00,seattle,1531342800
1195.0,2018-07-11 15:00:00,seattle,1531346400
11907.0,2018-07-11 16:00:00,seattle,1531350000
1205.0,2018-07-11 17:00:00,seattle,1531353600
1219.0,2018-07-11 18:00:00,seattle,1531357200
110707.0,2018-07-11 19:00:00,seattle,1531360800
1145.0,2018-07-11 20:00:00,seattle,1531364400
1115.0,2018-07-11 21:00:00,seattle,1531368000
1102.0,2018-07-11 22:00:00,seattle,1531371600
1014.0,2018-07-11 23:00:00,seattle,1531375200
950.0,2018-07-12 00:00:00,seattle,1531378800
8073.0,2018-07-12 01:00:00,seattle,1531382400
821.0,2018-07-12 02:00:00,seattle,1531386000
7407.0,2018-07-12 03:00:00,seattle,1531389600
736.0,2018-07-12 04:00:00,seattle,1531393200
750.0,2018-07-12 05:00:00,seattle,1531396800
799.0,2018-07-12 06:00:00,seattle,1531400400
912.0,2018-07-12 07:00:00,seattle,1531404000
1012.0,2018-07-12 08:00:00,seattle,1531407600
10074.0,2018-07-12 09:00:00,seattle,1531411200
1109.0,2018-07-12 10:00:00,seattle,1531414800
1135.0,2018-07-12 11:00:00,seattle,1531418400
1168.0,2018-07-12 12:00:00,seattle,1531422000
11079.0,2018-07-12 13:00:00,seattle,1531425600
1194.0,2018-07-12 14:00:00,seattle,1531429200
1195.0,2018-07-12 15:00:00,seattle,1531432800
1210.0,2018-07-12 16:00:00,seattle,1531436400
1215.0,2018-07-12 17:00:00,seattle,1531440000
1215.0,2018-07-12 18:00:00,seattle,1531443600
1180.0,2018-07-12 19:00:00,seattle,1531447200
1139.0,2018-07-12 20:00:00,seattle,1531450800
11007.0,2018-07-12 21:00:00,seattle,1531454400
1090.0,2018-07-12 22:00:00,seattle,1531458000
10207.0,2018-07-12 23:00:00,seattle,1531461600
9307.0,2018-07-13 00:00:00,seattle,1531465200
861.0,2018-07-13 01:00:00,seattle,1531468800
805.0,2018-07-13 02:00:00,seattle,1531472400
7073.0,2018-07-13 03:00:00,seattle,1531476000
759.0,2018-07-13 04:00:00,seattle,1531479600
784.0,2018-07-13 05:00:00,seattle,1531483200
850.0,2018-07-13 06:00:00,seattle,1531486800
9070.0,2018-07-13 07:00:00,seattle,1531490400
1063.0,2018-07-13 08:00:00,seattle,1531494000
1110.0,2018-07-13 09:00:00,seattle,1531497600
1163.0,2018-07-13 10:00:00,seattle,1531501200
1194.0,2018-07-13 11:00:00,seattle,1531504800
1214.0,2018-07-13 12:00:00,seattle,1531508400
1221.0,2018-07-13 13:00:00,seattle,1531512000
12207.0,2018-07-13 14:00:00,seattle,1531515600
1228.0,2018-07-13 15:00:00,seattle,1531519200
1242.0,2018-07-13 16:00:00,seattle,1531522800
1255.0,2018-07-13 17:00:00,seattle,1531526400
1232.0,2018-07-13 18:00:00,seattle,1531530000
1194.0,2018-07-13 19:00:00,seattle,1531533600
1143.0,2018-07-13 20:00:00,seattle,1531537200
1093.0,2018-07-13 21:00:00,seattle,1531540800
1085.0,2018-07-13 22:00:00,seattle,1531544400
1024.0,2018-07-13 23:00:00,seattle,1531548000
935.0,2018-07-14 00:00:00,seattle,1531551600
866.0,2018-07-14 01:00:00,seattle,1531555200
8107.0,2018-07-14 02:00:00,seattle,1531558800
811.0,2018-07-14 03:00:00,seattle,1531562400
795.0,2018-07-14 04:00:00,seattle,1531566000
769.0,2018-07-14 05:00:00,seattle,1531569600
785.0,2018-07-14 06:00:00,seattle,1531573200
793.0,2018-07-14 07:00:00,seattle,1531576800
892.0,2018-07-14 08:00:00,seattle,1531580400
968.0,2018-07-14 09:00:00,seattle,1531584000
1018.0,2018-07-14 10:00:00,seattle,1531587600
1059.0,2018-07-14 11:00:00,seattle,1531591200
10074.0,2018-07-14 12:00:00,seattle,1531594800
10075.0,2018-07-14 13:00:00,seattle,1531598400
10075.0,2018-07-14 14:00:00,seattle,1531602000
1084.0,2018-07-14 15:00:00,seattle,1531605600
10075.0,2018-07-14 16:00:00,seattle,1531609200
1093.0,2018-07-14 17:00:00,seattle,1531612800
1098.0,2018-07-14 18:00:00,seattle,1531616400
1093.0,2018-07-14 19:00:00,seattle,1531620000
10078.0,2018-07-14 20:00:00,seattle,1531623600
1050.0,2018-07-14 21:00:00,seattle,1531627200
1036.0,2018-07-14 22:00:00,seattle,1531630800
9076.0,2018-07-14 23:00:00,seattle,1531634400
904.0,2018-07-15 00:00:00,seattle,1531638000
884.0,2018-07-15 01:00:00,seattle,1531641600
848.0,2018-07-15 02:00:00,seattle,1531645200
811.0,2018-07-15 03:00:00,seattle,1531648800
800.0,2018-07-15 04:00:00,seattle,1531652400
786.0,2018-07-15 05:00:00,seattle,1531656000
781.0,2018-07-15 06:00:00,seattle,1531659600
8007.0,2018-07-15 07:00:00,seattle,1531663200
8074.0,2018-07-15 08:00:00,seattle,1531666800
946.0,2018-07-15 09:00:00,seattle,1531670400
1009.0,2018-07-15 10:00:00,seattle,1531674000
10407.0,2018-07-15 11:00:00,seattle,1531677600
1089.0,2018-07-15 12:00:00,seattle,1531681200
1106.0,2018-07-15 13:00:00,seattle,1531684800
1120.0,2018-07-15 14:00:00,seattle,1531688400
1131.0,2018-07-15 15:00:00,seattle,1531692000
1144.0,2018-07-15 16:00:00,seattle,1531695600
11070.0,2018-07-15 17:00:00,seattle,1531699200
11074.0,2018-07-15 18:00:00,seattle,1531702800
1182.0,2018-07-15 19:00:00,seattle,1531706400
11072.0,2018-07-15 20:00:00,seattle,1531710000
1156.0,2018-07-15 21:00:00,seattle,1531713600
1141.0,2018-07-15 22:00:00,seattle,1531717200
1084.0,2018-07-15 23:00:00,seattle,1531720800
993.0,2018-07-16 00:00:00,seattle,1531724400
914.0,2018-07-16 01:00:00,seattle,1531728000
869.0,2018-07-16 02:00:00,seattle,1531731600
842.0,2018-07-16 03:00:00,seattle,1531735200
824.0,2018-07-16 04:00:00,seattle,1531738800
845.0,2018-07-16 05:00:00,seattle,1531742400
901.0,2018-07-16 06:00:00,seattle,1531746000
990.0,2018-07-16 07:00:00,seattle,1531749600
1105.0,2018-07-16 08:00:00,seattle,1531753200
1160.0,2018-07-16 09:00:00,seattle,1531756800
1163.0,2018-07-16 10:00:00,seattle,1531760400
11079.0,2018-07-16 11:00:00,seattle,1531764000
1233.0,2018-07-16 12:00:00,seattle,1531767600
1280.0,2018-07-16 13:00:00,seattle,1531771200
1294.0,2018-07-16 14:00:00,seattle,1531774800
1313.0,2018-07-16 15:00:00,seattle,1531778400
1319.0,2018-07-16 16:00:00,seattle,1531782000
1338.0,2018-07-16 17:00:00,seattle,1531785600
1319.0,2018-07-16 18:00:00,seattle,1531789200
12076.0,2018-07-16 19:00:00,seattle,1531792800
1240.0,2018-07-16 20:00:00,seattle,1531796400
1195.0,2018-07-16 21:00:00,seattle,1531800000
1182.0,2018-07-16 22:00:00,seattle,1531803600
1109.0,2018-07-16 23:00:00,seattle,1531807200
1002.0,2018-07-17 00:00:00,seattle,1531810800
9207.0,2018-07-17 01:00:00,seattle,1531814400
882.0,2018-07-17 02:00:00,seattle,1531818000
848.0,2018-07-17 03:00:00,seattle,1531821600
830.0,2018-07-17 04:00:00,seattle,1531825200
856.0,2018-07-17 05:00:00,seattle,1531828800
903.0,2018-07-17 06:00:00,seattle,1531832400
1004.0,2018-07-17 07:00:00,seattle,1531836000
1115.0,2018-07-17 08:00:00,seattle,1531839600
1169.0,2018-07-17 09:00:00,seattle,1531843200
1190.0,2018-07-17 10:00:00,seattle,1531846800
1184.0,2018-07-17 11:00:00,seattle,1531850400
1212.0,2018-07-17 12:00:00,seattle,1531854000
12507.0,2018-07-17 13:00:00,seattle,1531857600
120707.0,2018-07-17 14:00:00,seattle,1531861200
1290.0,2018-07-17 15:00:00,seattle,1531864800
1302.0,2018-07-17 16:00:00,seattle,1531868400
1318.0,2018-07-17 17:00:00,seattle,1531872000
1310.0,2018-07-17 18:00:00,seattle,1531875600
1268.0,2018-07-17 19:00:00,seattle,1531879200
1200.0,2018-07-17 20:00:00,seattle,1531882800
110707.0,2018-07-17 21:00:00,seattle,1531886400
1154.0,2018-07-17 22:00:00,seattle,1531890000
10076.0,2018-07-17 23:00:00,seattle,1531893600
9607.0,2018-07-18 00:00:00,seattle,1531897200
893.0,2018-07-18 01:00:00,seattle,1531900800
846.0,2018-07-18 02:00:00,seattle,1531904400
818.0,2018-07-18 03:00:00,seattle,1531908000
820.0,2018-07-18 04:00:00,seattle,1531911600
834.0,2018-07-18 05:00:00,seattle,1531915200
886.0,2018-07-18 06:00:00,seattle,1531918800
