"demand","date_time","city","unix_time","time","summary","icon","precip_intensity","precip_probability","temperature","apparent_temperature","dewpoint","humidity","pressure","wind_speed","wind_gust","wind_bearing","cloud_cover","uv_index","visibility","precip_type","ozone","precip_accumulation"
"407074.0","2018-07-02 00:00:00","philadelphia",1530504000,1530504000,"Clear","clear-night","0","0","80.27","83.79","70.79","0.73","1017.3","3.03","3.21","238.0","0.12","0.0","9.964",NULL,NULL,NULL
"43907.0","2018-07-02 01:00:00","philadelphia",1530507600,1530507600,"Clear","clear-night","0","0","79.74","82.67","69.59","0.71","1017.2","2.39","2.39","226.0","0.05","0.0","9.705",NULL,NULL,NULL
"4423.0","2018-07-02 02:00:00","philadelphia",1530511200,1530511200,"Clear","clear-night","0","0","78.14","79.19","69.7","0.75","1017.6","1.78","1.78","226.0","0.2","0.0","9.553",NULL,NULL,NULL
"40743.0","2018-07-02 03:00:00","philadelphia",1530514800,1530514800,"Clear","clear-night","0","0","76.94","78.02","69.75","0.79","1017.6","0.9500000000000001","1.21","192.0","0.12","0.0","9.401",NULL,NULL,NULL
"5230.0","2018-07-02 04:00:00","philadelphia",1530518400,1530518400,"Clear","clear-night","0","0","76.07","77.2","69.96","0.81","1017.5","1.23","1.49","214.0","0.05","0.0","8.918",NULL,NULL,NULL
"50752.0","2018-07-02 05:00:00","philadelphia",1530522000,1530522000,"Clear","clear-night","0","0","74.97","76.09","69.58","0.8300000000000001","1017.5","1.33","1.63","188.0","0.0","0.0","8.175",NULL,NULL,NULL
"6254.0","2018-07-02 06:00:00","philadelphia",1530525600,1530525600,"Clear","clear-day","0","0","73.54","74.71","69.61","0.88","1017.7","1.75","1.75","168.0","0.06","0.0","5.956",NULL,NULL,NULL
"6669.0","2018-07-02 07:00:00","philadelphia",1530529200,1530529200,"Clear","clear-day","0","0","75.07","76.33","70.69","0.86","1017.6","1.22","1.34","185.0","0.13","0.0","6.788",NULL,NULL,NULL
"6964.0","2018-07-02 08:00:00","philadelphia",1530532800,1530532800,"Humid","clear-day","0","0","79.62","83.36","72.64","0.79","1017.8","1.74","1.96","210.0","0.05","1.0","8.397",NULL,NULL,NULL
"7228.0","2018-07-02 09:00:00","philadelphia",1530536400,1530536400,"Humid","clear-day","0","0","83.67","90.23","73.47","0.71","1018.0","2.5","2.7199999999999998","190.0","0.05","3.0","8.481",NULL,NULL,NULL
"7380.0","2018-07-02 10:00:00","philadelphia",1530540000,1530540000,"Humid","clear-day","0.0004","0.01","86.65","94.5","73.57","0.65","1018.2","2.7199999999999998","3.51","200.0","0.05","6.0","9.089","rain",NULL,NULL
"7480.0","2018-07-02 11:00:00","philadelphia",1530543600,1530543600,"Humid","clear-day","0.0009000000000000001","0.01","90.16","99.1","73.54","0.58","1018.4","2.93","4.41","177.0","0.05","8.0","9.399000000000001","rain",NULL,NULL
"7559.0","2018-07-02 12:00:00","philadelphia",1530547200,1530547200,"Clear","clear-day","0","0","92.05","98.42","70.5","0.5","1018.2","4.14","5.23","232.0","0.08","9.0","9.902",NULL,NULL,NULL
"7564.0","2018-07-02 13:00:00","philadelphia",1530550800,1530550800,"Clear","clear-day","0","0","93.71","100.93","71.0","0.48","1017.8","3.79","5.07","219.0","0.07","10.0","9.902",NULL,NULL,NULL
"7454.0","2018-07-02 14:00:00","philadelphia",1530554400,1530554400,"Clear","clear-day","0.0027","0.01","94.92","101.89","70.45","0.45","1017.5","5.34","5.94","225.0","0.07","9.0","9.902","rain",NULL,NULL
"7260.0","2018-07-02 15:00:00","philadelphia",1530558000,1530558000,"Clear","clear-day","0","0","96.1","103.25","70.32","0.43","1017.1","4.68","5.57","201.0","0.11","8.0","9.666",NULL,NULL,NULL
"7043.0","2018-07-02 16:00:00","philadelphia",1530561600,1530561600,"Clear","clear-day","0","0","96.56","103.75","70.25","0.43","1016.5","4.46","5.29","188.0","0.15","6.0","9.902",NULL,NULL,NULL
"68607.0","2018-07-02 17:00:00","philadelphia",1530565200,1530565200,"Clear","clear-day","0.0016","0.01","96.8","103.98","70.16","0.42","1016.1","4.83","6.03","177.0","0.15","4.0","9.902","rain",NULL,NULL
"6436.0","2018-07-02 18:00:00","philadelphia",1530568800,1530568800,"Clear","clear-day","0.0009000000000000001","0.01","96.42","103.38","70.04","0.43","1016.0","5.38","6.14","204.0","0.14","2.0","9.9","rain",NULL,NULL
"59907.0","2018-07-02 19:00:00","philadelphia",1530572400,1530572400,"Clear","clear-day","0.0006000000000000001","0.01","94.48","101.68","70.79","0.46","1016.3","5.94","7.18","229.0","0.13","0.0","9.9","rain",NULL,NULL
