"demand","date_time","city","unix_time","time","summary","icon","precip_intensity","precip_probability","temperature","apparent_temperature","dewpoint","humidity","pressure","wind_speed","wind_gust","wind_bearing","cloud_cover","uv_index","visibility","precip_type","ozone","precip_accumulation"
"2023.0","2018-07-01 01:00:00","san diego",1530432000,1530432000,"Overcast","cloudy","0","0","62.26","62.26","55.5","0.79","1015.7","3.06","3.06","231.0","1.0","0.0","9.972",NULL,NULL,NULL
"1896.0","2018-07-01 02:00:00","san diego",1530435600,1530435600,"Overcast","cloudy","0","0","62.27","62.27","55.52","0.79","1015.3","4.34","4.34","166.0","1.0","0.0","9.962",NULL,NULL,NULL
"18507.0","2018-07-01 03:00:00","san diego",1530439200,1530439200,"Overcast","cloudy","0","0","62.13","62.13","55.29","0.78","1015.0","3.91","3.91","223.0","0.99","0.0","9.943",NULL,NULL,NULL
"1825.0","2018-07-01 04:00:00","san diego",1530442800,1530442800,"Overcast","cloudy","0","0","61.52","61.52","55.84","0.8200000000000001","1015.2","3.37","3.37","207.0","1.0","0.0","9.921",NULL,NULL,NULL
"10798.0","2018-07-01 05:00:00","san diego",1530446400,1530446400,"Overcast","cloudy","0","0","61.47","61.47","55.37","0.8","1015.5","2.71","2.71","300.0","1.0","0.0","9.92",NULL,NULL,NULL
"1826.0","2018-07-01 06:00:00","san diego",1530450000,1530450000,"Overcast","cloudy","0","0","61.55","61.55","55.51","0.81","1016.0","3.31","3.31","220.0","1.0","0.0","9.914",NULL,NULL,NULL
"107307.0","2018-07-01 07:00:00","san diego",1530453600,1530453600,"Overcast","cloudy","0","0","62.32","62.32","55.98","0.8","1016.4","2.05","3.0","349.0","1.0","0.0","9.895",NULL,NULL,NULL
"1621.0","2018-07-01 08:00:00","san diego",1530457200,1530457200,"Overcast","cloudy","0","0","63.1","63.1","55.8","0.77","1016.8","3.54","3.54","355.0","1.0","1.0","9.887",NULL,NULL,NULL
"1566.0","2018-07-01 09:00:00","san diego",1530460800,1530460800,"Overcast","cloudy","0","0","65.4","65.4","56.14","0.72","1017.0","2.74","4.55","283.0","0.96","3.0","9.948",NULL,NULL,NULL
"1493.0","2018-07-01 10:00:00","san diego",1530464400,1530464400,"Mostly Cloudy","partly-cloudy-day","0","0","67.26","67.26","56.85","0.6900000000000001","1016.9","6.43","6.43","228.0","0.7000000000000001","4.0","9.984",NULL,NULL,NULL
"1465.0","2018-07-01 11:00:00","san diego",1530468000,1530468000,"Partly Cloudy","partly-cloudy-day","0","0","69.59","69.59","57.11","0.65","1017.1","7.59","7.59","253.0","0.4","7.0","9.984",NULL,NULL,NULL
"14071.0","2018-07-01 12:00:00","san diego",1530471600,1530471600,"Partly Cloudy","partly-cloudy-day","0","0","70.29","70.29","56.97","0.63","1017.1","6.72","6.92","276.0","0.39","8.0","9.984",NULL,NULL,NULL
"1486.0","2018-07-01 13:00:00","san diego",1530475200,1530475200,"Clear","clear-day","0","0","71.18","71.18","57.26","0.61","1016.9","7.74","7.98","270.0","0.02","11.0","9.984",NULL,NULL,NULL
"1522.0","2018-07-01 14:00:00","san diego",1530478800,1530478800,"Clear","clear-day","0","0","71.28","71.28","57.23","0.61","1016.9","8.16","8.16","278.0","0.02","10.0","9.984",NULL,NULL,NULL
"1592.0","2018-07-01 15:00:00","san diego",1530482400,1530482400,"Clear","clear-day","0","0","71.62","71.62","57.12","0.6000000000000001","1016.4","8.11","8.14","279.0","0.02","8.0","9.997",NULL,NULL,NULL
"1685.0","2018-07-01 16:00:00","san diego",1530486000,1530486000,"Clear","clear-day","0","0","71.62","71.62","57.06","0.6000000000000001","1015.9","8.16","8.16","273.0","0.02","6.0","9.997",NULL,NULL,NULL
"1836.0","2018-07-01 17:00:00","san diego",1530489600,1530489600,"Clear","clear-day","0","0","71.42","71.42","57.04","0.6000000000000001","1015.3","6.93","7.12","277.0","0.0","3.0","9.997",NULL,NULL,NULL
"2058.0","2018-07-01 18:00:00","san diego",1530493200,1530493200,"Clear","clear-day","0","0","70.54","70.54","57.12","0.63","1014.9","6.66","6.66","273.0","0.15","1.0","9.997",NULL,NULL,NULL
"2324.0","2018-07-01 19:00:00","san diego",1530496800,1530496800,"Clear","clear-day","0","0","69.5","69.5","57.41","0.65","1015.2","7.39","7.39","282.0","0.0","0.0","9.997",NULL,NULL,NULL
"2460.0","2018-07-01 20:00:00","san diego",1530500400,1530500400,"Clear","clear-night","0","0","65.9","65.9","57.16","0.73","1015.6","6.23","6.23","285.0","0.02","0.0","9.997",NULL,NULL,NULL
"2593.0","2018-07-01 21:00:00","san diego",1530504000,1530504000,"Clear","clear-night","0","0","64.64","64.64","57.2","0.77","1015.9","4.8100000000000005","4.8100000000000005","276.0","0.02","0.0","9.984",NULL,NULL,NULL
"2498.0","2018-07-01 22:00:00","san diego",1530507600,1530507600,"Clear","clear-night","0","0","64.05","64.05","57.16","0.78","1016.3","3.91","3.91","307.0","0.17","0.0","9.984",NULL,NULL,NULL
"2306.0","2018-07-01 23:00:00","san diego",1530511200,1530511200,"Mostly Cloudy","partly-cloudy-night","0","0","63.78","63.78","57.2","0.79","1016.1","3.7","3.7","341.0","0.71","0.0","9.984",NULL,NULL,NULL
"2093.0","2018-07-02 00:00:00","san diego",1530514800,1530514800,"Partly Cloudy","partly-cloudy-night","0","0","63.65","63.65","57.39","0.8","1016.2","3.37","3.37","315.0","0.45","0.0","9.978",NULL,NULL,NULL
"1939.0","2018-07-02 01:00:00","san diego",1530518400,1530518400,"Overcast","cloudy","0","0","62.98","62.98","57.36","0.8200000000000001","1015.8","2.79","2.79","320.0","0.9400000000000001","0.0","9.969",NULL,NULL,NULL
"1842.0","2018-07-02 02:00:00","san diego",1530522000,1530522000,"Mostly Cloudy","partly-cloudy-night","0","0","63.43","63.43","57.32","0.8","1015.7","2.45","2.45","350.0","0.78","0.0","9.972",NULL,NULL,NULL
"1813.0","2018-07-02 03:00:00","san diego",1530525600,1530525600,"Overcast","cloudy","0","0","62.81","62.81","57.1","0.8200000000000001","1015.2","2.54","3.09","323.0","0.98","0.0","9.971",NULL,NULL,NULL
"10794.0","2018-07-02 04:00:00","san diego",1530529200,1530529200,"Overcast","cloudy","0","0","62.77","62.77","57.22","0.8200000000000001","1015.0","2.74","2.74","315.0","1.0","0.0","9.94",NULL,NULL,NULL
"1825.0","2018-07-02 05:00:00","san diego",1530532800,1530532800,"Overcast","cloudy","0","0","63.69","63.69","57.06","0.79","1015.0","2.59","2.59","35.0","1.0","0.0","9.938",NULL,NULL,NULL
"1925.0","2018-07-02 06:00:00","san diego",1530536400,1530536400,"Overcast","cloudy","0","0","63.88","63.88","57.02","0.78","1015.4","3.2800000000000002","3.2800000000000002","17.0","1.0","0.0","9.937",NULL,NULL,NULL
"2018.0","2018-07-02 07:00:00","san diego",1530540000,1530540000,"Overcast","cloudy","0","0","64.23","64.23","57.13","0.78","1015.7","3.64","3.64","20.0","1.0","0.0","9.944",NULL,NULL,NULL
"20107.0","2018-07-02 08:00:00","san diego",1530543600,1530543600,"Overcast","cloudy","0","0","65.88","65.88","57.28","0.74","1016.0","2.63","4.75","8.0","1.0","1.0","9.962",NULL,NULL,NULL
"1992.0","2018-07-02 09:00:00","san diego",1530547200,1530547200,"Overcast","cloudy","0","0","67.85","67.85","58.19","0.71","1016.2","4.78","4.78","304.0","0.97","3.0","9.977",NULL,NULL,NULL
"1966.0","2018-07-02 10:00:00","san diego",1530550800,1530550800,"Overcast","cloudy","0","0","70.29","70.29","58.75","0.67","1016.1","6.22","6.22","279.0","0.91","4.0","9.977",NULL,NULL,NULL
"1925.0","2018-07-02 11:00:00","san diego",1530554400,1530554400,"Mostly Cloudy","partly-cloudy-day","0","0","71.59","71.59","58.7","0.64","1016.2","7.1","7.1","281.0","0.65","6.0","9.984",NULL,NULL,NULL
"1961.0","2018-07-02 12:00:00","san diego",1530558000,1530558000,"Clear","clear-day","0","0","73.43","73.43","58.47","0.6000000000000001","1016.0","8.59","8.59","274.0","0.17","10.0","9.997",NULL,NULL,NULL
"19078.0","2018-07-02 13:00:00","san diego",1530561600,1530561600,"Clear","clear-day","0","0","74.03","74.03","58.68","0.59","1015.3","9.13","9.13","295.0","0.02","11.0","9.997",NULL,NULL,NULL
"2019.0","2018-07-02 14:00:00","san diego",1530565200,1530565200,"Clear","clear-day","0","0","74.62","74.62","58.74","0.58","1014.7","10.05","10.05","285.0","0.02","10.0","9.997",NULL,NULL,NULL
"2052.0","2018-07-02 15:00:00","san diego",1530568800,1530568800,"Clear","clear-day","0","0","74.93","74.93","58.67","0.5700000000000001","1014.0","10.37","10.37","279.0","0.0","8.0","9.997",NULL,NULL,NULL
"2141.0","2018-07-02 16:00:00","san diego",1530572400,1530572400,"Clear","clear-day","0","0","74.43","74.43","58.55","0.58","1013.3","11.29","11.29","287.0","0.02","6.0","9.997",NULL,NULL,NULL
"2268.0","2018-07-02 17:00:00","san diego",1530576000,1530576000,"Clear","clear-day","0","0","73.06","73.06","58.55","0.6000000000000001","1012.7","11.26","11.26","286.0","0.0","3.0","9.997",NULL,NULL,NULL
"24076.0","2018-07-02 18:00:00","san diego",1530579600,1530579600,"Clear","clear-day","0","0","72.09","72.09","58.62","0.63","1012.4","9.12","9.12","286.0","0.02","1.0","9.997",NULL,NULL,NULL
"2602.0","2018-07-02 19:00:00","san diego",1530583200,1530583200,"Clear","clear-day","0","0","70.28","70.28","58.74","0.67","1012.5","7.93","7.93","286.0","0.02","0.0","9.997",NULL,NULL,NULL
"20738.0","2018-07-02 20:00:00","san diego",1530586800,1530586800,"Clear","clear-night","0","0","67.92","67.92","59.41","0.74","1012.5","6.49","6.49","292.0","0.04","0.0","9.997",NULL,NULL,NULL
"2818.0","2018-07-02 21:00:00","san diego",1530590400,1530590400,"Partly Cloudy","partly-cloudy-night","0","0","65.95","66.01","59.62","0.8","1013.0","5.5","5.5","288.0","0.44","0.0","9.984",NULL,NULL,NULL
"207007.0","2018-07-02 22:00:00","san diego",1530594000,1530594000,"Mostly Cloudy","partly-cloudy-night","0","0","65.37","65.37","59.01","0.8","1013.7","5.43","5.43","284.0","0.7000000000000001","0.0","9.971",NULL,NULL,NULL
"2421.0","2018-07-02 23:00:00","san diego",1530597600,1530597600,"Mostly Cloudy","partly-cloudy-night","0","0","64.82","64.83","59.02","0.81","1014.0","3.88","3.88","276.0","0.74","0.0","9.972",NULL,NULL,NULL
"2133.0","2018-07-03 00:00:00","san diego",1530601200,1530601200,"Overcast","cloudy","0","0","64.79","64.8","59.01","0.8200000000000001","1014.3","3.31","3.31","274.0","0.98","0.0","9.969",NULL,NULL,NULL
"1959.0","2018-07-03 01:00:00","san diego",1530604800,1530604800,"Overcast","cloudy","0","0","64.86","64.87","58.95","0.81","1014.2","3.5300000000000002","3.5300000000000002","238.0","1.0","0.0","9.954",NULL,NULL,NULL
"1842.0","2018-07-03 02:00:00","san diego",1530608400,1530608400,"Overcast","cloudy","0","0","64.82","64.82","58.12","0.79","1014.2","3.45","3.45","219.0","1.0","0.0","9.96",NULL,NULL,NULL
"10780.0","2018-07-03 03:00:00","san diego",1530612000,1530612000,"Overcast","cloudy","0","0","64.76","64.76","57.75","0.78","1014.1","3.68","3.68","239.0","1.0","0.0","9.969",NULL,NULL,NULL
"10752.0","2018-07-03 04:00:00","san diego",1530615600,1530615600,"Overcast","cloudy","0","0","64.66","64.66","57.45","0.77","1014.0","3.74","3.74","267.0","0.98","0.0","9.969",NULL,NULL,NULL
"107071.0","2018-07-03 05:00:00","san diego",1530619200,1530619200,"Overcast","cloudy","0","0","64.56","64.56","56.61","0.75","1014.1","2.39","3.13","225.0","1.0","0.0","9.972",NULL,NULL,NULL
"1894.0","2018-07-03 06:00:00","san diego",1530622800,1530622800,"Overcast","cloudy","0","0","64.62","64.62","56.53","0.75","1014.2","2.42","3.46","250.0","1.0","0.0","9.972",NULL,NULL,NULL
"1954.0","2018-07-03 07:00:00","san diego",1530626400,1530626400,"Overcast","cloudy","0","0","64.68","64.68","56.55","0.75","1014.5","3.04","3.04","272.0","0.98","0.0","9.972",NULL,NULL,NULL
"1964.0","2018-07-03 08:00:00","san diego",1530630000,1530630000,"Overcast","cloudy","0","0","65.58","65.58","57.25","0.74","1015.0","3.1","3.1","219.0","0.98","1.0","9.984",NULL,NULL,NULL
"1996.0","2018-07-03 09:00:00","san diego",1530633600,1530633600,"Mostly Cloudy","partly-cloudy-day","0","0","68.14","68.14","57.61","0.6900000000000001","1014.8","3.65","3.65","231.0","0.71","3.0","9.977",NULL,NULL,NULL
"1962.0","2018-07-03 10:00:00","san diego",1530637200,1530637200,"Partly Cloudy","partly-cloudy-day","0","0","70.05","70.05","56.88","0.63","1014.7","6.96","6.96","223.0","0.41000000000000003","5.0","9.975",NULL,NULL,NULL
"19071.0","2018-07-03 11:00:00","san diego",1530640800,1530640800,"Clear","clear-day","0","0","70.69","70.69","56.76","0.61","1014.7","7.54","7.54","237.0","0.02","9.0","9.984",NULL,NULL,NULL
"19607.0","2018-07-03 12:00:00","san diego",1530644400,1530644400,"Clear","clear-day","0","0","72.18","72.18","56.88","0.59","1014.6","7.18","7.18","274.0","0.02","10.0","9.997",NULL,NULL,NULL
"1930.0","2018-07-03 13:00:00","san diego",1530648000,1530648000,"Clear","clear-day","0","0","72.33","72.33","56.85","0.58","1014.4","8.06","8.06","274.0","0.02","11.0","9.997",NULL,NULL,NULL
"1931.0","2018-07-03 14:00:00","san diego",1530651600,1530651600,"Clear","clear-day","0","0","72.84","72.84","56.14","0.56","1014.2","8.78","8.78","254.0","0.01","10.0","9.997",NULL,NULL,NULL
"1960.0","2018-07-03 15:00:00","san diego",1530655200,1530655200,"Clear","clear-day","0","0","73.11","73.11","56.89","0.5700000000000001","1013.7","8.47","8.47","278.0","0.02","8.0","9.997",NULL,NULL,NULL
