"demand","date_time","city","unix_time","time","summary","icon","precip_intensity","precip_probability","temperature","apparent_temperature","dewpoint","humidity","pressure","wind_speed","wind_gust","wind_bearing","cloud_cover","uv_index","visibility","precip_type","ozone","precip_accumulation"
"12522.0","2018-07-01 01:00:00","san jose",1530432000,1530432000,"Clear","clear-night","0","0","66.09","66.09","53.14","0.63","1013.1","3.15","5.36","143.0","0.01","0.0","9.988",NULL,NULL,NULL
"110745.0","2018-07-01 02:00:00","san jose",1530435600,1530435600,"Clear","clear-night","0","0","64.3","64.3","53.15","0.67","1013.0","4.74","5.84","117.0","0.0","0.0","9.997",NULL,NULL,NULL
"11200.0","2018-07-01 03:00:00","san jose",1530439200,1530439200,"Clear","clear-night","0","0","63.42","63.42","53.22","0.6900000000000001","1012.9","4.51","6.8","160.0","0.06","0.0","9.988",NULL,NULL,NULL
"10822.0","2018-07-01 04:00:00","san jose",1530442800,1530442800,"Clear","clear-night","0","0","61.73","61.73","53.1","0.73","1013.0","3.48","5.91","121.0","0.08","0.0","9.978",NULL,NULL,NULL
"10644.0","2018-07-01 05:00:00","san jose",1530446400,1530446400,"Clear","clear-night","0","0","60.96","60.96","53.17","0.76","1013.6","4.1","5.96","161.0","0.1","0.0","9.988",NULL,NULL,NULL
"10559.0","2018-07-01 06:00:00","san jose",1530450000,1530450000,"Clear","clear-day","0","0","60.57","60.57","53.12","0.76","1014.1","4.13","5.2","143.0","0.26","0.0","9.969",NULL,NULL,NULL
"10653.0","2018-07-01 07:00:00","san jose",1530453600,1530453600,"Clear","clear-day","0","0","61.82","61.82","53.7","0.75","1014.3","5.29","8.73","133.0","0.16","0.0","9.946",NULL,NULL,NULL
"11158.0","2018-07-01 08:00:00","san jose",1530457200,1530457200,"Clear","clear-day","0","0","64.12","64.12","54.55","0.71","1014.7","4.08","5.67","138.0","0.13","1.0","9.978",NULL,NULL,NULL
"11640.0","2018-07-01 09:00:00","san jose",1530460800,1530460800,"Clear","clear-day","0","0","68.6","68.6","55.45","0.63","1014.7","3.69","5.39","152.0","0.13","3.0","9.997",NULL,NULL,NULL
"119073.0","2018-07-01 10:00:00","san jose",1530464400,1530464400,"Clear","clear-day","0","0","72.51","72.51","56.28","0.5700000000000001","1014.5","2.48","4.53","165.0","0.12","5.0","9.997",NULL,NULL,NULL
"12393.0","2018-07-01 11:00:00","san jose",1530468000,1530468000,"Clear","clear-day","0","0","78.47","78.47","57.47","0.49","1014.5","2.5700000000000003","4.01","196.0","0.11","7.0","9.997",NULL,NULL,NULL
"12524.0","2018-07-01 12:00:00","san jose",1530471600,1530471600,"Clear","clear-day","0","0","79.87","79.87","57.58","0.47000000000000003","1014.5","5.32","10.28","298.0","0.11","9.0","9.997",NULL,NULL,NULL
"120703.0","2018-07-01 13:00:00","san jose",1530475200,1530475200,"Clear","clear-day","0","0","79.55","79.56","59.44","0.5","1014.6","7.75","9.46","314.0","0.12","10.0","9.997",NULL,NULL,NULL
"132078.0","2018-07-01 14:00:00","san jose",1530478800,1530478800,"Partly Cloudy","partly-cloudy-day","0","0","79.05","79.13","60.25","0.53","1014.3","9.64","10.33","295.0","0.38","8.0","9.997",NULL,NULL,NULL
"1380707.0","2018-07-01 15:00:00","san jose",1530482400,1530482400,"Clear","clear-day","0","0","79.69","79.79","60.29","0.52","1014.2","8.14","9.41","293.0","0.27","8.0","9.997",NULL,NULL,NULL
"145007.0","2018-07-01 16:00:00","san jose",1530486000,1530486000,"Clear","clear-day","0","0","81.02","81.3","58.36","0.46","1014.1","10.49","10.49","277.0","0.28","6.0","9.997",NULL,NULL,NULL
"15060.0","2018-07-01 17:00:00","san jose",1530489600,1530489600,"Clear","clear-day","0","0","77.36","77.36","58.85","0.53","1014.1","10.88","13.22","287.0","0.26","4.0","9.997",NULL,NULL,NULL
